time,signal
2.917166867,0.077715
2.921168467,-0.00098207
2.925170068,-0.029488
2.929171669,0.03802
2.933173269,0.065176
2.93717487,-0.051375
2.941176471,-0.13254
2.945178071,-0.038722
2.949179672,0.072301
2.953181273,0.060535
2.957182873,0.0068491
2.961184474,0.022444
2.965186074,0.046617
2.969187675,-0.033951
2.973189276,-0.11747
2.977190876,-0.05187
2.981192477,0.06377
2.985194078,0.069458
2.989195678,0.0009464
2.993197279,-0.010502
2.99719888,0.04762
3.00120048,0.035571
3.005202081,-0.077761
3.009203681,-0.10662
3.013205282,0.0067041
3.017206883,0.079822
3.021208483,0.029174
3.025210084,-0.0233
3.029211685,0.015523
3.033213285,0.057065
3.037214886,-0.015597
3.041216487,-0.1069
3.045218087,-0.059091
3.049219688,0.05358
3.053221289,0.06875
3.057222889,0.0048743
3.06122449,-0.0079007
3.06522609,0.048252
3.069227691,0.039345
3.073229292,-0.075033
3.077230892,-0.11954
3.081232493,-0.0097836
3.085234094,0.088165
3.089235694,0.05587
3.093237295,-0.010578
3.097238896,-0.0033229
3.101240496,0.024821
3.105242097,-0.020961
3.109243697,-0.082827
3.113245298,-0.043923
3.117246899,0.052195
3.121248499,0.075231
3.1252501,0.02136
3.129251701,-0.011075
3.133253301,0.0019687
3.137254902,-0.0075899
3.141256503,-0.049116
3.145258103,-0.047066
3.149259704,0.0088943
3.153261305,0.04276
3.157262905,0.026994
3.161264506,0.0054601
3.165266106,0.0041959
3.169267707,0.0014153
3.173269308,-0.021017
3.177270908,-0.037951
3.181272509,-0.018195
3.18527411,0.02235
3.18927571,0.037879
3.193277311,0.018118
3.197278912,0.001932
3.201280512,0.0025035
3.205282113,-0.014838
3.209283713,-0.043592
3.213285314,-0.029653
3.217286915,0.022614
3.221288515,0.045655
3.225290116,0.017215
3.229291717,-0.011984
3.233293317,-0.0073782
3.237294918,0.00029262
3.241296519,-0.018706
3.245298119,-0.031716
3.24929972,-0.0020188
3.253301321,0.034258
3.257302921,0.027315
3.261304522,0.0011623
3.265306122,-0.00034637
3.269307723,0.0074995
3.273309324,-0.010996
3.277310924,-0.040907
3.281312525,-0.031616
3.285314126,0.017743
3.289315726,0.044326
3.293317327,0.021839
3.297318928,-0.0037252
3.301320528,-0.00042907
3.305322129,0.0054965
3.309323729,-0.015816
3.31332533,-0.043119
3.317326931,-0.031835
3.321328531,0.013518
3.325330132,0.044408
3.329331733,0.033672
3.333333333,-0.006634
3.337334934,-0.031617
3.341336535,-0.0038445
3.345338135,0.027727
3.349339736,0.0041144
3.353341337,-0.023699
3.357342937,-0.0088339
3.361344538,0.008803
3.365346138,0.0062564
3.369347739,-0.00010328
3.37334934,-0.0029867
3.37735094,-0.0038355
